titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Appartement te koop,465000,8620 Nieuwpoort,0,0,0,5.0,7,Uitstekend,1998,2,None,None,None,None,None,None,93.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop (Nieuwbouwproject),334000,9470 Denderleeuw,0,0,0,5.0,7,Nieuw pand,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop (Nieuwbouwproject),379000,9470 Denderleeuw,0,0,0,5.0,7,Nieuw pand,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,285000,8670 Oostduinkerke,0,0,0,5.0,7,Normaal,1978,2,None,None,None,None,None,None,66.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,1495000,3080 Tervuren,0,0,0,5.0,7,None,2010,2,None,None,None,None,None,None,250.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,470000,1970 Wezembeek-Oppem,0,0,0,5.0,7,Normaal,None,3,None,None,None,None,None,None,127.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,895000,3090 Overijse,0,0,0,5.0,7,Normaal,1998,2,None,None,None,None,None,None,523.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),219900,6200 Châtelet,0,0,0,5.0,7,None,None,5,None,None,None,None,None,None,220.0,220.0,None,Ja,None,None,None,None,2,2,Nee,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop (Nieuwbouwproject),219900,6200 Châtelet,0,0,0,5.0,7,None,None,5,None,None,None,None,None,None,220.0,220.0,None,Ja,None,None,None,None,2,2,Nee,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,629000,3078 Everberg,0,0,0,5.0,7,None,None,4,None,None,None,None,None,None,249.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelsfonds te koop,295200,2460 Lichtaart,0,0,0,5.0,7,Nieuw pand,2024,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelsfonds te koop,361005,2460 Kasterlee,0,0,0,5.0,7,Nieuw pand,2024,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
